region,date,confirm
Alabama,2020-09-22,804
Alaska,2020-09-22,46
Arizona,2020-09-22,595
Arkansas,2020-09-22,617
California,2020-09-22,2860
Colorado,2020-09-22,616
Connecticut,2020-09-22,136
Delaware,2020-09-22,94
District of Columbia,2020-09-22,43
Florida,2020-09-22,2470
Georgia,2020-09-22,955
Guam,2020-09-22,43
Hawaii,2020-09-22,63
Idaho,2020-09-22,480
Illinois,2020-09-22,1479
Indiana,2020-09-22,613
Iowa,2020-09-22,668
Kansas,2020-09-22,281
Kentucky,2020-09-22,719
Louisiana,2020-09-22,752
Maine,2020-09-22,40
Maryland,2020-09-22,341
Massachusetts,2020-09-22,173
Michigan,2020-09-22,751
Minnesota,2020-09-22,480
Mississippi,2020-09-22,465
Missouri,2020-09-22,1760
Montana,2020-09-22,283
Nebraska,2020-09-22,440
Nevada,2020-09-22,257
New Hampshire,2020-09-22,38
New Jersey,2020-09-22,426
New Mexico,2020-09-22,107
New York,2020-09-22,751
North Carolina,2020-09-22,1165
North Dakota,2020-09-22,264
Northern Mariana Islands,2020-09-22,0
Ohio,2020-09-22,685
Oklahoma,2020-09-22,1164
Oregon,2020-09-22,324
Pennsylvania,2020-09-22,783
Puerto Rico,2020-09-22,120
Rhode Island,2020-09-22,112
South Carolina,2020-09-22,2665
South Dakota,2020-09-22,320
Tennessee,2020-09-22,821
Texas,2020-09-22,4333
Utah,2020-09-22,654
Vermont,2020-09-22,2
Virgin Islands,2020-09-22,9
Virginia,2020-09-22,872
Washington,2020-09-22,430
West Virginia,2020-09-22,213
Wisconsin,2020-09-22,1737
Wyoming,2020-09-22,72
Alabama,2020-09-23,569
Alaska,2020-09-23,54
Arizona,2020-09-23,438
Arkansas,2020-09-23,982
California,2020-09-23,3273
Colorado,2020-09-23,634
Connecticut,2020-09-23,155
Delaware,2020-09-23,69
District of Columbia,2020-09-23,29
Florida,2020-09-23,2590
Georgia,2020-09-23,1867
Guam,2020-09-23,45
Hawaii,2020-09-23,167
Idaho,2020-09-23,354
Illinois,2020-09-23,1820
Indiana,2020-09-23,714
Iowa,2020-09-23,1282
Kansas,2020-09-23,1118
Kentucky,2020-09-23,966
Louisiana,2020-09-23,616
Maine,2020-09-23,25
Maryland,2020-09-23,384
Massachusetts,2020-09-23,543
Michigan,2020-09-23,886
Minnesota,2020-09-23,678
Mississippi,2020-09-23,552
Missouri,2020-09-23,1550
Montana,2020-09-23,242
Nebraska,2020-09-23,450
Nevada,2020-09-23,531
New Hampshire,2020-09-23,17
New Jersey,2020-09-23,408
New Mexico,2020-09-23,197
New York,2020-09-23,666
North Carolina,2020-09-23,1173
North Dakota,2020-09-23,473
Northern Mariana Islands,2020-09-23,0
Ohio,2020-09-23,903
Oklahoma,2020-09-23,1089
Oregon,2020-09-23,190
Pennsylvania,2020-09-23,861
Puerto Rico,2020-09-23,64
Rhode Island,2020-09-23,133
South Carolina,2020-09-23,897
South Dakota,2020-09-23,445
Tennessee,2020-09-23,1522
Texas,2020-09-23,4482
Utah,2020-09-23,890
Vermont,2020-09-23,1
Virgin Islands,2020-09-23,12
Virginia,2020-09-23,580
Washington,2020-09-23,809
West Virginia,2020-09-23,120
Wisconsin,2020-09-23,1883
Wyoming,2020-09-23,153
Alabama,2020-09-24,1053
Alaska,2020-09-24,140
Arizona,2020-09-24,568
Arkansas,2020-09-24,1086
California,2020-09-24,3321
Colorado,2020-09-24,559
Connecticut,2020-09-24,157
Delaware,2020-09-24,117
District of Columbia,2020-09-24,56
Florida,2020-09-24,2541
Georgia,2020-09-24,1537
Guam,2020-09-24,28
Hawaii,2020-09-24,88
Idaho,2020-09-24,517
Illinois,2020-09-24,2289
Indiana,2020-09-24,903
Iowa,2020-09-24,1037
Kansas,2020-09-24,106
Kentucky,2020-09-24,640
Louisiana,2020-09-24,577
Maine,2020-09-24,44
Maryland,2020-09-24,500
Massachusetts,2020-09-24,481
Michigan,2020-09-24,1108
Minnesota,2020-09-24,912
Mississippi,2020-09-24,737
Missouri,2020-09-24,1361
Montana,2020-09-24,347
Nebraska,2020-09-24,453
Nevada,2020-09-24,431
New Hampshire,2020-09-24,37
New Jersey,2020-09-24,564
New Mexico,2020-09-24,237
New York,2020-09-24,953
North Carolina,2020-09-24,1805
North Dakota,2020-09-24,470
Northern Mariana Islands,2020-09-24,0
Ohio,2020-09-24,991
Oklahoma,2020-09-24,1083
Oregon,2020-09-24,356
Pennsylvania,2020-09-24,848
Puerto Rico,2020-09-24,1182
Rhode Island,2020-09-24,134
South Carolina,2020-09-24,1021
South Dakota,2020-09-24,463
Tennessee,2020-09-24,1053
Texas,2020-09-24,4828
Utah,2020-09-24,1219
Vermont,2020-09-24,2
Virgin Islands,2020-09-24,0
Virginia,2020-09-24,902
Washington,2020-09-24,555
West Virginia,2020-09-24,202
Wisconsin,2020-09-24,2467
Wyoming,2020-09-24,136
Alabama,2020-09-25,2452
Alaska,2020-09-25,118
Arizona,2020-09-25,515
Arkansas,2020-09-25,897
California,2020-09-25,4062
Colorado,2020-09-25,761
Connecticut,2020-09-25,115
Delaware,2020-09-25,138
District of Columbia,2020-09-25,57
Florida,2020-09-25,2847
Georgia,2020-09-25,1755
Guam,2020-09-25,23
Hawaii,2020-09-25,131
Idaho,2020-09-25,681
Illinois,2020-09-25,2755
Indiana,2020-09-25,1175
Iowa,2020-09-25,1038
Kansas,2020-09-25,1391
Kentucky,2020-09-25,920
Louisiana,2020-09-25,706
Maine,2020-09-25,20
Maryland,2020-09-25,557
Massachusetts,2020-09-25,488
Michigan,2020-09-25,1043
Minnesota,2020-09-25,1177
Mississippi,2020-09-25,722
Missouri,2020-09-25,2059
Montana,2020-09-25,275
Nebraska,2020-09-25,431
Nevada,2020-09-25,592
New Hampshire,2020-09-25,41
New Jersey,2020-09-25,548
New Mexico,2020-09-25,263
New York,2020-09-25,909
North Carolina,2020-09-25,5422
North Dakota,2020-09-25,434
Northern Mariana Islands,2020-09-25,0
Ohio,2020-09-25,1150
Oklahoma,2020-09-25,1276
Oregon,2020-09-25,459
Pennsylvania,2020-09-25,830
Puerto Rico,2020-09-25,1063
Rhode Island,2020-09-25,0
South Carolina,2020-09-25,1195
South Dakota,2020-09-25,457
Tennessee,2020-09-25,1648
Texas,2020-09-25,3265
Utah,2020-09-25,1370
Vermont,2020-09-25,7
Virgin Islands,2020-09-25,6
Virginia,2020-09-25,941
Washington,2020-09-25,552
West Virginia,2020-09-25,247
Wisconsin,2020-09-25,2612
Wyoming,2020-09-25,115
Alabama,2020-09-26,933
Alaska,2020-09-26,111
Arizona,2020-09-26,459
Arkansas,2020-09-26,809
California,2020-09-26,3481
Colorado,2020-09-26,467
Connecticut,2020-09-26,0
Delaware,2020-09-26,71
District of Columbia,2020-09-26,52
Florida,2020-09-26,2795
Georgia,2020-09-26,1464
Guam,2020-09-26,0
Hawaii,2020-09-26,127
Idaho,2020-09-26,183
Illinois,2020-09-26,2308
Indiana,2020-09-26,1163
Iowa,2020-09-26,877
Kansas,2020-09-26,0
Kentucky,2020-09-26,888
Louisiana,2020-09-26,0
Maine,2020-09-26,25
Maryland,2020-09-26,478
Massachusetts,2020-09-26,569
Michigan,2020-09-26,929
Minnesota,2020-09-26,1470
Mississippi,2020-09-26,645
Missouri,2020-09-26,1395
Montana,2020-09-26,287
Nebraska,2020-09-26,434
Nevada,2020-09-26,534
New Hampshire,2020-09-26,36
New Jersey,2020-09-26,750
New Mexico,2020-09-26,205
New York,2020-09-26,1006
